0, 384
64, 384
128, 384
192, 384
256, 384
320, 384
384, 384
448, 384
512, 384
576, 384
640, 384
704, 384
768, 384
832, 384
896, 384
960, 384
1024, 384
1088, 384
1152, 384
1216, 384
1280, 384
1344, 384
1408, 384
1472, 384
1536, 384
1600, 384
1664, 384
1728, 384
1792, 384
1856, 384
1920, 384
1984, 384
2048, 384
2112, 384
2176, 384
2240, 384
2304, 384
2368, 384
2432, 384
2496, 384
2560, 384
2624, 384
2688, 384
2752, 384
2816, 384
2880, 384
2944, 384
3008, 384
3072, 384
3136, 384
3200, 384
3264, 384
3328, 384
3392, 384
3456, 384
3520, 384
3584, 384
3648, 384
3712, 384
3776, 384
